,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst
154,"Apr 16, 2013","Apr 16, 2013",A Monster in Paris,,Adventure,Original Screenplay,Digital Animation,Fantasy,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,27000381.0,27000381.0,N/A
155,"Dec 31, 2013","Jul 18, 2013",Metegol,,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,34061097.0,34061097.0,N/A
156,"Feb 7, 2014","Feb 6, 2014",The Lego Movie,Warner Bros.,Adventure,Based on Toy,Digital Animation,Kids Fiction,60000000.0,3775.0,3890.0,32540.0,69050279.0,257784718.0,289021789.0,210300000.0,468084718.0,tt1490017
157,"May 30, 2014","May 28, 2014",Maleficent,Walt Disney,Adventure,Spin-Off,Live Action,Fantasy,180000000.0,3948.0,3948.0,29061.0,69431298.0,241407328.0,270659863.0,517129407.0,758536735.0,tt1587310
158,"Nov 7, 2014","Oct 25, 2014",Big Hero 6,Walt Disney,Adventure,Original Screenplay,Digital Animation,Super Hero,165000000.0,3761.0,3773.0,32851.0,56215889.0,222527828.0,249101171.0,427129579.0,649657407.0,tt2245084
159,"Jun 13, 2014","Jun 5, 2014",How to Train Your Dragon 2,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Fantasy,145000000.0,4253.0,4268.0,28175.0,49451322.0,177002924.0,198451253.0,437583346.0,614586270.0,tt1646971
160,"Dec 25, 2014","Dec 25, 2014",Into the Woods,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,56200000.0,2440.0,2833.0,16910.0,31051923.0,128002372.0,142229088.0,84718770.0,212721142.0,tt2180411
161,"Dec 19, 2014","Dec 18, 2014",Night at the Museum: Secret of the Tomb,20th Century Fox,Adventure,Original Screenplay,Animation/Live Action,Fantasy,127000000.0,3785.0,3914.0,22470.0,17100520.0,113746621.0,125994811.0,240010000.0,353756621.0,tt2692250
162,"Mar 7, 2014","Feb 20, 2014",Mr. Peabody & Sherman,20th Century Fox,Adventure,Based on TV,Digital Animation,Kids Fiction,145000000.0,3934.0,3951.0,23555.0,32207057.0,111506430.0,125018217.0,158300000.0,269806430.0,tt0864835
163,"Apr 16, 2014","Apr 16, 2014",Heaven Is for Real,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,12000000.0,2417.0,3048.0,18618.0,22522221.0,91386097.0,102459803.0,9527459.0,100913556.0,tt1929263
164,"Dec 19, 2014","Dec 18, 2014",Annie,Sony Pictures,Musical,Remake,Live Action,Contemporary Fiction,65000000.0,3116.0,3197.0,16131.0,15861939.0,85911262.0,95320160.0,53918363.0,139829625.0,tt1823664
165,"Nov 26, 2014","Nov 26, 2014",Penguins of Madagascar,20th Century Fox,Adventure,Spin-Off,Digital Animation,Kids Fiction,132000000.0,3764.0,3775.0,21146.0,25447444.0,83350911.0,93128575.0,283591620.0,366942531.0,tt1911658
166,"Oct 10, 2014","Oct 10, 2014","Alexander and the Terrible, Horrible, No Good, Very Bad Day",Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,28000000.0,3088.0,3176.0,19460.0,18360230.0,66954149.0,75035450.0,34425138.0,101379287.0,tt1698641
167,"Jan 17, 2014","Jan 17, 2014",The Nut Job,Open Road,Adventure,Based on Short Film,Digital Animation,Kids Fiction,30000000.0,3427.0,3472.0,19812.0,19405000.0,64251538.0,72037217.0,58278428.0,122529966.0,tt1821658
168,"Mar 21, 2014","Mar 21, 2014",God's Not Dead,Pure Flix Entertainment,Drama,Original Screenplay,Live Action,Contemporary Fiction,1150000.0,780.0,1860.0,13176.0,9244641.0,60755732.0,68117809.0,3021360.0,63777092.0,tt2528814
169,"Jul 18, 2014","Jul 17, 2014",Planes: Fire & Rescue,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,50000000.0,3826.0,3839.0,16636.0,17509407.0,59157732.0,66326168.0,97241912.0,156399644.0,tt2980706
