,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst,Released_dt,year,franchise
882,"Dec 21, 2018","Dec 6, 2018",Aquaman,Warner Bros.,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,160000000,4125,4184,31526,67873522,335061807,336154340,808696893,1143758700,tt1477834,2018-12-21 00:00:00,2018,1
1232,"Oct 12, 2012","Oct 11, 2012",Argo,Warner Bros.,Thriller/Suspense,Based on Factual Book/Article,Live Action,Historical Fiction,44500000,3232,3247,31242,19458109,136025503,155908183,91115254,227140757,tt1024648,2012-10-12 00:00:00,2012,0
413,"Apr 8, 2011","Apr 8, 2011",Arthur,Warner Bros.,Romantic Comedy,Remake,Live Action,Contemporary Fiction,40000000,3276,3276,11648,12222756,33035397,38159424,14752546,47787943,tt1334512,2011-04-08 00:00:00,2011,0
765,"Apr 15, 2016","Apr 15, 2016",Barbershop: The Next Cut,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,20000000,2661,2676,12345,20242415,54030051,57215641,374151,54404202,tt3628584,2016-04-15 00:00:00,2016,0
734,"Mar 25, 2016","Mar 23, 2016",Batman v Superman: Dawn of Justice,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,263000000,4242,4256,25005,166007347,330360194,349838079,542034897,872395091,tt2975590,2016-03-25 00:00:00,2016,1
571,"Feb 14, 2013","Feb 14, 2013",Beautiful Creatures,Warner Bros.,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Fantasy,50000000,2950,2950,7739,7582595,19452138,21916546,40830738,60282876,tt1559547,2013-02-14 00:00:00,2013,0
1476,"Sep 18, 2015","Sep 17, 2015",Black Mass,Warner Bros.,Drama,Based on Factual Book/Article,Live Action,Dramatization,53000000,3188,3188,13669,22635037,62575678,67994442,36262194,98837872,tt1355683,2015-09-18 00:00:00,2015,0
1580,"Oct 6, 2017","Sep 29, 2017",Blade Runner 2049,Warner Bros.,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,185000000,4058,4058,18595,32753122,92054159,93997749,167184812,259238971,tt1856101,2017-10-06 00:00:00,2017,1
627,"May 23, 2014","May 22, 2014",Blended,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,45000000,3555,3555,14592,14284031,46290741,51900020,81700000,127990741,tt1086772,2014-05-23 00:00:00,2014,0
979,"Aug 16, 2019","Aug 9, 2019",Blinded by the Light,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,15000000,2307,2307,7362,4333305,11901145,11901148,6243499,18144644,tt8266310,2019-08-16 00:00:00,2019,0
