,mid,title,released,director,boxoffice,inf_adj_boxoffice,cr,wicar
3740,tt0954542,Lauf um Dein Leben - Vom Junkie zum Ironman,04-24-2008,Adnan Köse,0,0,0,0
2506,tt4300754,Sawah,03-20-2019,Adolf El Assal,0,0,0,0
68,tt5641510,Padre de Familia,02-20-2016,Adolfo Alix Jr.,0,0,0,0
1356,tt0092557,Anantaram,10-01-1987,Adoor Gopalakrishnan,0,0,0,0
1984,tt0097851,Mathilukal,05-18-1990,Adoor Gopalakrishnan,0,0,0,0
3929,tt0108490,Vidheyan,01-27-1994,Adoor Gopalakrishnan,0,0,0,0
3581,tt0202381,Guest House Paradiso,12-03-1999,Adrian Edmondson,0,0,0,0
631,tt0323965,Shot in the Dark,05-05-2002,Adrian Grenier,0,0,0,0
527,tt1232206,Teenage Paparazzo,01-12-2011,Adrian Grenier,0,0,0,0
1675,tt0080756,Foxes,02-29-1980,Adrian Lyne,"$7,470,348",13932946.05,0,0
1958,tt0091635,Nine 1/2 Weeks,02-21-1986,Adrian Lyne,"$6,735,922",11710400.4,7470348,52.78060404
1105,tt0093010,Fatal Attraction,09-18-1987,Adrian Lyne,"$156,645,693",269023313.2,14206270,63.37340798
1062,tt0107211,Indecent Proposal,04-07-1993,Adrian Lyne,"$106,614,059",169601645.1,170851963,12374.71312
732,tt0119558,Lolita,09-25-1998,Adrian Lyne,"$1,071,255",1591135.052,277466022,46421.23252
1981,tt0250797,Unfaithful,05-10-2002,Adrian Lyne,"$52,775,765",73933569.19,278537277,1866.633244
2305,tt2180339,Deep Water,01-14-2022,Adrian Lyne,0,0,331313042,105622051.2
1364,tt13915156,E. M. Forster: His Longest Journey,10-07-2019,"Adrian Munsey, Vance Goodwin(co-director)",0,0,0,0
951,tt0117043,A Midsummer Night's Dream,11-29-1996,Adrian Noble,0,0,0,0
2402,tt0138353,Cement,04-14-2000,Adrian Pasdar,0,0,0,0
2640,tt0353357,Day of Wrath,06-08-2006,Adrian Rudomin,0,0,0,0
898,tt3814808,Funny Cow,04-20-2018,Adrian Shergold,0,0,0,0
3317,tt3734688,Cordelia,10-23-2020,Adrian Shergold,0,0,0,0
226,tt1741694,Din dragoste cu cele mai bune intentii,10-28-2011,Adrian Sitaru,0,0,0,0
1046,tt5340728,Iseng,03-10-2016,Adrian Tang,0,0,0,0
1970,tt3254796,Big Stone Gap,05-20-2016,Adriana Trigiani,"$1,009,301",1115782.256,0,0
